"type","R.est"
"MDR Ural",1.55856185356371
"MDR Ural",1.42432171446543
"MDR Ural",1.63658641437139
"MDR Ural",1.67572871441702
"MDR Ural",1.555101931597
"MDR Ural",1.80978406626408
"MDR Ural",1.77221311145069
"MDR Ural",1.62744584654022
"MDR Ural",1.6883736547273
"MDR Ural",1.92212878131185
"MDR Ural",1.77176916322629
"MDR Ural",1.83963672383865
"MDR Ural",1.68415673615102
"MDR Ural",1.79931189678709
"MDR Ural",1.98832873382086
"MDR Ural",2.21710880752866
"MDR Ural",2.12354997538281
"MDR Ural",2.42059927776274
"MDR Ural",2.10621672816967
"MDR Ural",2.00045722921186
"MDR Ural",2.75177504129871
"MDR Ural",2.14631111094294
"MDR Ural",2.12843421310476
"MDR Ural",2.41423419375011
"MDR Ural",2.28983042322595
"MDR Ural",2.45318205085816
"MDR Ural",2.59527413445461
"MDR Ural",2.07013977937587
"MDR Ural",2.25112430124385
"MDR Ural",2.68411845869773
"MDR Ural",2.00514030707774
"MDR Ural",2.00228175739003
"MDR Ural",2.06670374443081
"MDR Ural",2.0567799737573
"MDR Ural",2.54846980591914
"MDR Ural",2.54870457850596
"MDR Ural",2.94947803243147
"MDR Ural",3.06208208750995
"MDR Ural",2.46763458365856
"MDR Ural",2.53269506946714
"MDR Ural",3.24964034855432
"MDR Ural",2.91971339462801
"MDR Ural",2.51295911858941
"MDR Ural",2.8620794835812
"MDR Ural",2.60680693928333
"MDR Ural",2.52567048397033
"MDR Ural",2.87112492133878
"MDR Ural",2.9060512532232
"MDR Ural",2.52277490472114
"MDR Ural",2.65925389101786
"MDR Ural",2.75941148205464
"MDR Ural",3.03141551596379
"MDR Ural",2.94022330066356
"MDR Ural",2.8704010956706
"MDR Ural",3.05248390907378
"MDR Ural",2.49492050389301
"MDR Ural",2.93331152374134
"MDR Ural",2.47642249787993
"MDR Ural",2.81811288712413
"MDR Ural",2.69586982298398
"MDR Ural",2.94939910004153
"MDR Ural",3.11438531324205
"MDR Ural",3.1098015400959
"MDR Ural",3.00447119797831
"MDR Ural",2.33942698192493
"MDR Ural",2.76312779216458
"MDR Ural",2.40914847757414
"MDR Ural",2.57650481934096
"MDR Ural",2.91286692859398
"MDR Ural",2.65916651362414
"MDR Ural",2.87136515212393
"MDR Ural",2.61775848401727
"MDR Ural",3.08471194502736
"MDR Ural",2.32229466233386
"MDR Ural",2.50900816175917
"MDR Ural",2.84641520945158
"MDR Ural",2.64294236397555
"MDR Ural",2.76583789426919
"MDR Ural",2.41338201353842
"MDR Ural",3.19114697533912
"MDR Ural",2.61833064413056
"MDR Ural",2.67380756652032
"MDR Ural",3.19251567046846
"MDR Ural",2.4093796206426
"MDR Ural",2.67878451639803
"MDR Ural",2.56166400943302
"MDR Ural",2.79261633803791
"MDR Ural",2.4636529394063
"MDR Ural",2.55871434266767
"MDR Ural",2.43561178050086
"MDR Ural",2.31184948605056
"MDR Ural",2.49597204988885
"MDR Ural",2.36892702502417
"MDR Ural",2.37675641845216
"MDR Ural",2.60883930750961
"MDR Ural",2.55993393388405
"MDR Ural",2.45123228630886
"MDR Ural",2.1673961688199
"MDR Ural",2.26300518275006
"MDR Ural",2.15658050619663
"MDR Ural",2.41797421642571
"MDR Ural",2.13811849247463
"MDR Ural",2.47810440744481
"MDR Ural",2.70791702228404
"MDR Ural",2.19753747519177
"MDR Ural",2.49340411874173
"MDR Ural",2.60838297367441
"MDR Ural",3.12048307859557
"MDR Ural",3.0574892614412
"MDR Ural",2.80505227857018
"MDR Ural",2.82559737407217
"MDR Ural",2.97024840362447
"MDR Ural",2.78206723043456
"MDR Ural",3.00115247757607
"MDR Ural",2.4452238290566
"MDR Ural",2.72730195520065
"MDR Ural",2.64129855806623
"MDR Ural",2.84300085942602
"MDR Ural",2.38535721406027
"MDR Ural",2.89607257193072
"MDR Ural",3.21675752395609
"MDR Ural",2.67655634474381
"MDR Ural",2.56412440016212
"MDR Ural",2.919238423806
"MDR Ural",2.74865689766287
"MDR Ural",2.56304988968435
"MDR Ural",2.35819671760212
"MDR Ural",2.6447040816238
"MDR Ural",2.07205088862431
"MDR Ural",2.67788993861776
"MDR Ural",2.09322358383939
"MDR Ural",2.27350046759819
"MDR Ural",2.3305421453641
"MDR Ural",1.91551929297495
"MDR Ural",2.09536826686472
"MDR Ural",1.78496148966331
"MDR Ural",2.12771314661937
"MDR Ural",2.29476373780969
"MDR Ural",2.14534541564821
"MDR Ural",2.07416567241151
"MDR Ural",2.07823648314183
"MDR Ural",2.78632002633459
"MDR Ural",2.15015067305627
"MDR Ural",2.70706102548873
"MDR Ural",2.62919530786752
"MDR Ural",2.67030785037704
"MDR Ural",2.5786825880177
"MDR Ural",2.02107698841889
"MDR Ural",2.59664464433
"MDR Ural",2.46784738381467
"MDR Ural",1.962331020183
"MDR Ural",2.33175724265746
"MDR Ural",2.12430049577765
"MDR Ural",2.07358961900468
"MDR Ural",2.21631147781693
"MDR Ural",2.06375010019851
"MDR Ural",2.21988977546075
"MDR Ural",2.260305833403
"MDR Ural",2.50379623851575
