SequenceID,Type,Clade
TB-MoldovaSeq-DNA0299-4999_S302,MDR,Ural_26
TB-333-2359-19_S37,MDR,Ural_26
TB-MoldovaSeq-DNA0302-5166_S305,MDR,Ural_26
TB-MoldovaSeq-DNA116-1415_S117,MDR,Ural_26
TB-333-2240-19_S32,MDR,Ural_26
TB-MoldovaSeq-DNA164-1514_S165,MDR,Ural_26
TB-MoldovaSeq-DNA0233-4840_S235,MDR,Ural_26
TB-MoldovaSeq-DNA0306-5348_S309,MDR,Ural_26
TB-MoldovaSeq-DNA0330-5305_S333,Non-MDR,Ural_31
TB-DNA0334_S191,Non-MDR,Ural_31
TB-333-2411-19_S87,MDR,Ural_26
TB-333-2412-19_S1,MDR,Ural_26
TB-MoldovaSeq-DNA0312-4978_S315,MDR,Ural_26
TB-333-2417-19_S44,MDR,Ural_26
TB-111-5354-19-138_S61,Non-MDR,Ural_31
TB-111-5368-19_S132,Non-MDR,Ural_26
TB-333-2478-19_S79,MDR,Ural_26
TB-111-5395-19-138_S29,Non-MDR,Ural_31
TB-333-2530-19_S90,MDR,Ural_26
TB-333-2849-19_S30,MDR,Ural_26
TB-222-1810-18_S62,MDR,Ural_26
TB-MoldovaSeq-DNA0316-4135_S319,Non-MDR,Ural_17
TB-111-5555-19-138_S45,MDR,Ural_26
TB-222-1914-19_S208,Non-MDR,Ural_31
TB-444-1834-18_S13,Non-MDR,Ural_31
TB-333-3041-19-138_S117,MDR,Ural_26
TB-333-3079-19_S79,Non-MDR,Ural_31
TB-333-2986-19_S169,MDR,Ural_26
TB-111-6421-19_S149,Non-MDR,Ural_31
TB-111-6552-19-138_S32,MDR,Ural_26
TB-333-3228-19_S136,MDR,Ural_26
TB-111-6799-19-138_S43,Non-MDR,Ural_31
TB-333-3165-19_S86,MDR,Ural_26
TB-MoldovaSeq-DNA134-1881_S135,MDR,Ural_26
TB-MoldovaSeq-DNA135-1833_S136,Non-MDR,Ural_31
TB-111-7086-18_S6,MDR,Ural_26
TB-111-7114-18_S190,MDR,Ural_26
TB-111-6967-19_S108,MDR,Ural_26
TB-333-3345-19_S150,MDR,Ural_26
TB-111-7270-19_S127,Non-MDR,Ural_31
TB-333-3600-19_S164,MDR,Ural_26
TB-333-3416-19_S139,MDR,Ural_26
TB-111-7437-19-138_S33,Non-MDR,Ural_31
TB-111-7624-18_S172,MDR,Ural_26
TB-111-7922-18_S21,MDR,Ural_26
TB-222-2538-18_S150,MDR,Ural_26
TB-333-3593-19_S148,MDR,Ural_26
TB-MoldovaSeq-DNA172-2312_S173,MDR,Ural_26
TB-333-3780-19_S179,MDR,Ural_26
TB-333-3828-19_S263,MDR,Ural_26
TB-111-8263-18_S51,Non-MDR,Ural_31
TB-222-2618-18_S51,Non-MDR,Ural_31
TB-222-2620-18-138_S4,Non-MDR,Ural_31
TB-333-3697-19_S152,MDR,Ural_26
TB-111-8323-18_S53,MDR,Ural_26
TB-111-8655-18_S194,MDR,Ural_26
TB-444-2409-18_S30,MDR,Ural_26
TB-111-8305-18_S78,MDR,Ural_26
TB-111-8366-18_S72,MDR,Ural_26
TB-222-2929-18_S176,MDR,Ural_26
TB-111-8840-18_S67,MDR,Ural_26
TB-MoldovaSeq-DNA0223-2292_S33,MDR,Ural_26
TB-111-7991-19-138_S74,MDR,Ural_26
TB-333-3902-19-138_S57,MDR,Ural_26
TB-MoldovaSeq-DNA185-2529_S186,MDR,Ural_26
TB-222-2972-19_S195,MDR,Ural_26
TB-111-8922-18_S50,MDR,Ural_26
TB-222-2879-19_S188,MDR,Ural_26
TB-333-4040-19_S59,MDR,Ural_26
TB-333-4171-19-138_S51,MDR,Ural_26
TB-111-9037-18_S92,Non-MDR,Ural_31
TB-222-2929-19_S6,MDR,Ural_26
TB-333-4189-19_S165,MDR,Ural_26
TB-333-4193-19_S176,Non-MDR,Ural_17
TB-333-4111-19_S140,MDR,Ural_26
TB-111-9249-18_S181,MDR,Ural_26
TB-444-2752-18_S193,MDR,Ural_26
TB-MoldovaSeq-DNA182-2728_S183,MDR,Ural_26
TB-111-9490-18_S140,MDR,Ural_26
TB-111-9606-18_S168,MDR,Ural_26
TB-111-9676-18_S191,MDR,Ural_26
TB-MoldovaSeq-DNA184-2841_S185,MDR,Ural_26
TB-111-9585-18_S116,Non-MDR,Ural_31
TB-111-9797-18_S155,Non-MDR,Ural_31
TB-444-2848-18_S47,MDR,Ural_26
TB-444-2853-18_S192,MDR,Ural_26
TB-111-9817-18_S17,MDR,Ural_26
TB-222-3292-18_S63,MDR,Ural_26
TB-111-9837-18_S136,MDR,Ural_26
TB-444-2918-18_S36,MDR,Ural_26
TB-444-2576-19_S5,MDR,Ural_26
TB-MoldovaSeq-DNA0288-5509_S291,MDR,Ural_26
TB-111-10418-18_S15,MDR,Ural_26
TB-333-4624-19_S157,MDR,Ural_26
TB-333-4712-19-138_S48,MDR,Ural_26
TB-111-10456-18_S8,MDR,Ural_26
TB-111-10582-18_S37,MDR,Ural_26
TB-444-3065-18_S85,MDR,Ural_26
TB-MoldovaSeq-DNA186-3071_S187,MDR,Ural_26
TB-222-3337-19_S206,MDR,Ural_26
TB-444-2635-19_S6,MDR,Ural_26
TB-444-2636-19_S29,MDR,Ural_26
TB-444-2637-19_S229,MDR,Ural_26
TB-444-2656-19_S9,MDR,Ural_26
TB-111-10558-18_S42,Non-MDR,Ural_31
TB-111-10713-18_S39,Non-MDR,Ural_31
TB-MoldovaSeq-DNA145-850_S146,MDR,Ural_26
TB-222-3451-19_S185,Non-MDR,Ural_17
TB-222-3678-18_S177,Non-MDR,Ural_31
TB-333-5021-19-138_S129,MDR,Ural_26
TB-444-2788-19_S26,MDR,Ural_26
TB-111-11287-18_S137,Non-MDR,Ural_17
TB-444-3322-18_S19,MDR,Ural_26
TB-222-4003-18_S71,Non-MDR,Ural_31
TB-444-3405-18_S206,MDR,Ural_26
TB-111-11645-18_S136,MDR,Ural_26
TB-222-3940-18_S179,Non-MDR,Ural_17
TB-111-11299-19_S242,Non-MDR,Ural_31
TB-111-11429-19_S253,MDR,Ural_26
TB-111-11857-18_S135,Non-MDR,Ural_31
TB-111-11919-18_S80,Non-MDR,Ural_31
TB-444-3544-18_S214,MDR,Ural_26
TB-333-5561-19_S173,Non-MDR,Ural_31
TB-444-3558-18_S132,MDR,Ural_26
TB-111-12146-18_S113,Non-MDR,Ural_17
TB-111-12700-18_S76,MDR,Ural_26
TB-222-4175-18_S168,MDR,Ural_26
TB-111-12364-18_S95,MDR,Ural_26
TB-444-3698-18_S161,MDR,Ural_26
TB-111-12407-18_S90,MDR,Ural_26
TB-111-12663-18_S74,MDR,Ural_26
TB-444-3776-18_S86,MDR,Ural_26
