SeuqneceID,Clade,Type
TB-DNA0366_S223,Beijing_2,MDR
TB-111-15806-18-138_S13,Beijing_2,MDR
TB-111-8988-18_S22,Beijing_2,MDR
TB-MoldovaSeq-DNA046-622_S46,Beijing_2,MDR
TB-222-2445-19_S194,Beijing_2,MDR
TB-222-147-18_S83,Beijing_2,MDR
TB-333-2146-19_S45,Beijing_2,MDR
TB-444-2588-18_S15,Beijing_2,MDR
TB-444-6799-18_S53,Beijing_2,MDR
TB-444-4195-18_S31,Beijing_2,MDR
TB-444-4213-18_S99,Beijing_2,MDR
TB-444-5337-19_S254,Beijing_2,MDR
TB-MoldovaSeq-DNA183-708_S184,Beijing_2,MDR
TB-MoldovaSeq-DNA187-3011_S188,Beijing_2,MDR
TB-MoldovaSeq-DNA079-542_S79,Beijing_2,MDR
TB-444-3404-18_S31,Beijing_2,MDR
TB-444-3398-18_S34,Beijing_2,MDR
TB-444-5101-18_S40,Beijing_2,MDR
TB-MoldovaSeq-DNA061-706_S61,Beijing_2,MDR
TB-MoldovaSeq-DNA050-353_S50,Beijing_2,MDR
TB-444-6524-18_S134,Beijing_2,MDR
TB-MoldovaSeq-DNA056-452_S56,Beijing_2,MDR
TB-444-3833-18_S163,Beijing_2,MDR
TB-444-4076-18_S98,Beijing_2,MDR
TB-444-6232-18_S59,Beijing_2,MDR
TB-MoldovaSeq-DNA078-354_S78,Beijing_2,MDR
TB-444-990-19-138_S18,Beijing_2,MDR
TB-444-3788-18_S160,Beijing_2,MDR
TB-MoldovaSeq-DNA152-1941_S153,Beijing_2,MDR
TB-MoldovaSeq-DNA161-1157_S162,Beijing_2,MDR
TB-444-4372-18_S52,Beijing_2,MDR
TB-MoldovaSeq-DNA154-2130_S155,Beijing_2,MDR
TB-444-4320-18_S38,Beijing_2,MDR
TB-444-4321-18_S39,Beijing_2,MDR
TB-444-4316-18_S127,Beijing_2,MDR
TB-444-3209-18_S44,Beijing_2,MDR
TB-MoldovaSeq-DNA099-171_S100,Beijing_2,MDR
TB-444-2743-19_S228,Beijing_2,MDR
TB-444-1650-18_S16,Beijing_2,MDR
TB-444-4579-19_S20,Beijing_2,MDR
TB-MoldovaSeq-DNA080-523_S80,Beijing_2,MDR
TB-111-15952-18_S73,Beijing_2,MDR
TB-333-2024-19_S2,Beijing_2,MDR
TB-MoldovaSeq-DNA031-74_S31,Beijing_2,MDR
TB-MoldovaSeq-DNA190-2594_S191,Beijing_2,MDR
TB-MoldovaSeq-DNA049-220_S49,Beijing_2,MDR
TB-MoldovaSeq-DNA159-1163_S160,Beijing_2,MDR
TB-111-4156-19_S187,Beijing_2,MDR
TB-444-2768-18_S89,Beijing_2,MDR
TB-444-4991-18_S27,Beijing_2,MDR
TB-MoldovaSeq-DNA070-1319_S70,Beijing_2,MDR
TB-MoldovaSeq-DNA123-1318_S124,Beijing_2,MDR
TB-444-4429-19_S30,Beijing_2,MDR
TB-444-5612-18_S51,Beijing_2,MDR
TB-444-3963-18_S104,Beijing_2,MDR
TB-444-5610-18_S50,Beijing_2,MDR
TB-444-5626-18_S58,Beijing_2,MDR
TB-MoldovaSeq-DNA057-674_S57,Beijing_2,MDR
TB-444-4442-18_S123,Beijing_2,MDR
TB-111-2072-19_S266,Beijing_2,MDR
TB-444-3933-18_S165,Beijing_2,MDR
TB-MoldovaSeq-DNA059-526_S59,Beijing_2,MDR
TB-MoldovaSeq-DNA034-100_S34,Beijing_2,MDR
TB-MoldovaSeq-DNA015-360_S15,Beijing_2,MDR
TB-444-2623-18_S14,Beijing_2,MDR
TB-MoldovaSeq-DNA047-668_S47,Beijing_2,MDR
TB-444-6731-18_S131,Beijing_2,MDR
TB-444-6152-18_S102,Beijing_2,MDR
TB-MoldovaSeq-DNA055-99_S55,Beijing_2,MDR
TB-MoldovaSeq-DNA027-35_S27,Beijing_2,MDR
TB-444-4234-18_S111,Beijing_2,MDR
TB-MoldovaSeq-DNA131-986_S132,Beijing_2,MDR
TB-MoldovaSeq-DNA032-76_S32,Beijing_2,MDR
TB-MoldovaSeq-DNA001-647_S1,Beijing_2,MDR
TB-444-6584-18_S50,Beijing_2,MDR
TB-MoldovaSeq-DNA148-1791_S149,Beijing_2,MDR
TB-444-5382-18_S181,Beijing_2,MDR
